generations,best_awt,avg_awt,pareto_size
65,2.3571812631129974,4.969603037850576,15
66,2.3571812631129974,4.994597643677751,15
67,2.3571812631129974,5.012033539679953,15
68,2.3571812631129974,5.025690116060369,16
69,2.3571812631129974,4.9692701695297465,16
70,2.3571812631129974,4.9773651098789085,16
71,2.3571812631129974,4.967331994278015,16
72,2.3571812631129974,4.9238094690450565,17
73,2.3571812631129974,4.919341713171541,17
74,2.3571812631129974,4.91143155911733,17
75,2.3571812631129974,4.940317585084417,17
76,2.3571812631129974,4.940317585084417,17
77,2.3571812631129974,4.937332166642082,17
78,2.3571812631129974,4.893728513118042,17
79,2.3571812631129974,4.892399966090907,17
80,2.3571812631129974,4.895898679203642,17
81,2.3571812631129974,4.899879459780384,17
82,2.3571812631129974,4.880018900876414,17
83,2.3571812631129974,4.900447177445434,17
84,2.3571812631129974,4.905866175786813,18
85,2.3571812631129974,4.905866175786813,18
86,2.3571812631129974,4.893801995668838,18
87,2.3571812631129974,4.909858214103633,18
88,2.3571812631129974,5.023657216421013,18
89,2.3571812631129974,5.028328214142916,18
90,2.3571812631129974,5.019085890212119,18
91,2.3571812631129974,5.01475951318604,16
92,2.3571812631129974,5.018993645769106,16
93,2.3571812631129974,4.981037230899308,16
94,2.3571812631129974,4.9438008271250995,16
95,2.3571812631129974,4.942795909396646,16
96,2.3571812631129974,4.974495909287576,16
97,2.3571812631129974,4.945418455915443,16
98,2.3571812631129974,4.926310766250324,16
99,2.3571812631129974,4.928742249706574,16
100,2.3571812631129974,4.906300595412616,16
101,2.3571812631129974,4.895286070657638,16
102,2.3571812631129974,4.869037431952411,16
103,2.3571812631129974,4.800107954450856,16
104,2.3571812631129974,4.791491752559962,16
105,2.3571812631129974,4.764842691939876,16
106,2.3571812631129974,4.732883063574591,17
107,2.3571812631129974,4.814070925741418,17
108,2.3571812631129974,4.741542598945498,17
109,2.3571812631129974,4.771620645040018,17
110,2.3571812631129974,4.817304072677225,17
111,2.3571812631129974,4.795310584500728,17
112,2.3571812631129974,4.777282257545283,17
113,2.3571812631129974,4.765693012745545,17
114,2.3571812631129974,4.757359164901184,17
115,2.3571812631129974,4.760401978436943,17
116,2.3571812631129974,4.73621974482107,17
117,2.3571812631129974,4.69354996212387,17
118,2.3571812631129974,4.688094787495273,17
119,2.3571812631129974,4.718144148065281,17
120,2.3571812631129974,4.678952224618104,17
121,2.3571812631129974,4.72636580371222,17
122,2.3571812631129974,4.680963279169193,17
123,2.3571812631129974,4.67447191585965,17
124,2.3571812631129974,4.672695833206562,17
125,2.3571812631129974,4.668943580490878,18
126,2.3571812631129974,4.672076821826749,18
127,2.3571812631129974,4.6715905128750554,18
128,2.3571812631129974,4.660723348496703,18
129,2.3571812631129974,4.709993136725565,18
130,2.3571812631129974,4.684623255855453,18
131,2.3571812631129974,4.7207806102429375,18
132,2.3571812631129974,4.715947419308365,18
133,2.3571812631129974,4.715947419308365,18
134,2.3571812631129974,4.699598086769396,18
135,2.3571812631129974,4.67653453067252,18
136,2.3571812631129974,4.671961676233573,18
137,2.3571812631129974,4.669124775556409,18
